class,precision,recall,f1,support
Access,0.8937931034482759,0.9094736842105263,0.9015652173913044,1425
Administrative rights,0.7724719101123596,0.78125,0.7768361581920904,352
HR Support,0.8805970149253731,0.8648648648648649,0.8726600415992605,2183
Hardware,0.8567164179104477,0.8428781204111601,0.8497409326424871,2724
Internal Project,0.8303571428571429,0.8773584905660378,0.8532110091743119,424
Miscellaneous,0.8198630136986301,0.8477337110481586,0.8335654596100278,1412
Purchase,0.9281183932346723,0.8904665314401623,0.9089026915113871,493
Storage,0.8940754039497307,0.8972972972972973,0.89568345323741,555
